country,year,total_deaths_that_are_from_all_causes__in_both_sexes_aged_all_ages,total_estimated_deaths,difference,share_deaths_with_cause
Denmark,1957,41730,41763,-33,99.92098269
Denmark,1969,47943,47981,-38,99.92080198
United States,2013,2596993,2599058,-2065,99.92054814
Belgium,1994,103778,103861,-83,99.9200855
France,1979,541805,542240,-435,99.91977722
Sweden,1966,78440,78503,-63,99.91974829
Austria,1978,94617,94693,-76,99.91974064
Singapore,1988,13689,13700,-11,99.91970803
Belgium,1960,113938,114030,-92,99.91931948
Denmark,1956,39590,39622,-32,99.91923679
Ukraine,1987,586387,586867,-480,99.91820975
Netherlands,1997,135783,135895,-112,99.91758343
Portugal,1962,96864,96945,-81,99.91644747
Austria,1961,85673,85746,-73,99.91486483
Hungary,1956,104236,104326,-90,99.91373196
Israel,1994,33535,33564,-29,99.9135979
Israel,2008,39241,39275,-34,99.91343094
Switzerland,1994,61987,62041,-54,99.91296078
Sweden,1982,90666,90745,-79,99.91294286
Iceland,1951,1145,1146,-1,99.91273997
Poland,2004,363522,363844,-322,99.91150053
Norway,1994,44076,44116,-40,99.90932995
Denmark,1972,50445,50491,-46,99.90889465
Finland,2000,49316,49361,-45,99.90883491
Austria,1958,85980,86059,-79,99.90820251
France,1982,543104,543604,-500,99.90802128
Sweden,1986,93268,93354,-86,99.90787754
France,1978,546916,547422,-506,99.90756674
Sweden,2010,90519,90603,-84,99.90728784
Belgium,1975,119425,119536,-111,99.90714094
United Kingdom,1989,657733,658347,-614,99.90673611
Denmark,1965,47884,47929,-45,99.90611112
Iceland,1954,1064,1065,-1,99.90610329
Sweden,1967,79783,79858,-75,99.9060833
Netherlands,1986,125307,125426,-119,99.90512334
Luxembourg,1978,4183,4187,-4,99.9044662
Germany,2004,818271,819054,-783,99.90440191
Germany,1998,852382,853210,-828,99.90295472
France,1983,559655,560199,-544,99.90289165
Austria,2008,75083,75156,-73,99.9028687
Canada,1974,166794,166958,-164,99.9017717
New Zealand,1979,25373,25398,-25,99.90156705
France,1967,539946,540479,-533,99.90138377
France,1987,527466,527988,-522,99.90113412
Ukraine,1994,764669,765430,-761,99.90057876
Belgium,1962,112758,112871,-113,99.89988571
France,1981,554823,555382,-559,99.89934856
Estonia,1991,19715,19735,-20,99.89865721
Sweden,1962,76791,76869,-78,99.89852867
Sweden,1955,68634,68704,-70,99.89811365
Portugal,1959,97754,97855,-101,99.89678606
Belgium,1971,119471,119595,-124,99.89631674
Belgium,1969,120471,120597,-126,99.89551979
Germany,2012,869582,870496,-914,99.89500239
Hungary,1985,147614,147770,-156,99.89443053
Germany,2000,838797,839691,-894,99.89353226
Norway,2014,40344,40387,-43,99.8935301
United Kingdom,1978,667177,667889,-712,99.89339546
Estonia,2008,16675,16693,-18,99.89217037
Belgium,1979,112010,112131,-121,99.8920905
Iceland,1997,1843,1845,-2,99.89159892
France,1984,542490,543080,-590,99.89136039
Netherlands,1996,137561,137711,-150,99.89107624
Australia,2003,131784,131930,-146,99.88933525
United Kingdom,1988,649178,649898,-720,99.88921338
Hungary,1967,109530,109652,-122,99.88873892
Sweden,1969,83306,83399,-93,99.88848787
Australia,2002,133047,133196,-149,99.88813478
Sweden,1985,94013,94119,-106,99.88737662
Portugal,1964,96878,96988,-110,99.88658391
Poland,2008,379399,379836,-437,99.88495035
Norway,2016,40609,40656,-47,99.88439591
Iceland,2001,1725,1727,-2,99.88419224
Slovakia,2014,51345,51405,-60,99.88327984
Poland,2009,384940,385395,-455,99.88193931
Thailand,1999,362607,363039,-432,99.88100452
France,1999,537459,538102,-643,99.88050593
Estonia,2010,15781,15800,-19,99.87974684
Poland,2003,365230,365672,-442,99.87912665
Sweden,1964,76661,76754,-93,99.87883368
Belgium,1978,115388,115529,-141,99.87795272
New Zealand,1987,27430,27464,-34,99.87620157
Israel,2004,37757,37804,-47,99.87567453
Belgium,1968,121744,121896,-152,99.87530354
United States,2012,2543279,2546455,-3176,99.87527759
Netherlands,2019,151885,152075,-190,99.87506165
Sweden,1996,93815,93933,-118,99.87437855
France,1985,552496,553196,-700,99.87346257
Portugal,1961,99590,99717,-127,99.87263957
Germany,2017,932272,933472,-1200,99.87144767
Belgium,1966,115613,115762,-149,99.87128764
Iceland,2016,2310,2313,-3,99.87029831
Israel,2003,38359,38409,-50,99.86982218
Norway,2002,44401,44459,-58,99.86954272
Poland,2011,375501,375993,-492,99.8691465
Australia,1967,102703,102838,-135,99.86872557
United States,2011,2515458,2518766,-3308,99.86866585
Italy,1954,441897,442479,-582,99.86846833
Austria,1982,91339,91460,-121,99.86770173
Ireland,1950,37741,37791,-50,99.86769337
Denmark,1960,43681,43740,-59,99.86511203
Estonia,2012,15473,15494,-21,99.86446366
France,1976,557114,557885,-771,99.86179947
Germany,1999,846330,847514,-1184,99.86029729
Germany,2009,854544,855741,-1197,99.86012123
Denmark,1994,61099,61185,-86,99.85944267
United Kingdom,2018,614690,615560,-870,99.85866528
Norway,2005,41152,41211,-59,99.85683434
Czechia,2016,107750,107905,-155,99.85635513
Iceland,1968,1387,1389,-2,99.85601152
Austria,1959,87970,88098,-128,99.85470726
Germany,2015,925200,926561,-1361,99.85311275
Germany,2013,893825,895142,-1317,99.85287251
Belgium,1965,115045,115216,-171,99.85158311
Denmark,1980,55939,56023,-84,99.85006158
Switzerland,1976,57095,57181,-86,99.84960039
New Zealand,1997,27611,27653,-42,99.84811774
Sweden,2005,91775,91915,-140,99.84768536
Italy,2017,650614,651610,-996,99.84714783
Poland,2006,369686,370252,-566,99.84713114
Netherlands,2018,153363,153598,-235,99.84700322
Poland,2015,394921,395527,-606,99.84678669
Belgium,1964,110100,110269,-169,99.84673843
Austria,2019,83386,83514,-128,99.84673228
Poland,2012,384788,385382,-594,99.84586722
Iceland,2007,1943,1946,-3,99.84583762
Switzerland,1996,62643,62741,-98,99.8438023
Iceland,2006,1903,1906,-3,99.84260231
Denmark,1971,48858,48936,-78,99.84060814
Denmark,1966,49344,49423,-79,99.84015539
Iceland,1961,1248,1250,-2,99.84
New Zealand,1978,24678,24718,-40,99.83817461
Israel,1985,28029,28075,-46,99.83615316
Poland,2016,388009,388657,-648,99.83327201
New Zealand,1981,25147,25189,-42,99.83326055
Luxembourg,1969,4178,4185,-7,99.83273596
Switzerland,2013,64961,65070,-109,99.83248809
Portugal,1967,95816,95978,-162,99.83121132
Maldives,2015,1165,1167,-2,99.82862039
Iceland,1994,1717,1720,-3,99.8255814
Malta,1986,2861,2866,-5,99.82554082
France,1962,537714,538654,-940,99.82549095
France,2009,537197,538147,-950,99.82346831
Portugal,1958,91891,92054,-163,99.82293002
Austria,1955,84995,85146,-151,99.82265755
Belgium,1995,104897,105084,-187,99.82204712
Denmark,1963,45773,45855,-82,99.82117544
Norway,2011,41304,41378,-74,99.821161
Norway,2015,40686,40759,-73,99.82089845
France,1986,546926,547931,-1005,99.81658274
Denmark,1970,48233,48322,-89,99.81581888
New Zealand,1984,25383,25430,-47,99.81517892
Austria,1956,86824,86988,-164,99.81146825
France,2016,579488,580585,-1097,99.81105265
Belgium,2017,109666,109875,-209,99.80978385
Denmark,1952,39174,39249,-75,99.80891233
Belgium,1970,118660,118888,-228,99.80822287
Belgium,1993,106824,107035,-211,99.80286822
Sweden,1963,76460,76613,-153,99.80029499
United Kingdom,1986,660735,662066,-1331,99.79896264
Portugal,1968,94661,94852,-191,99.79863366
United Kingdom,1982,662802,664142,-1340,99.79823592
Belgium,1990,104130,104342,-212,99.79682199
Grenada,2019,981,983,-2,99.7965412
Poland,2018,414200,415046,-846,99.79616717
Belgium,1989,107336,107556,-220,99.79545539
Iceland,1970,1457,1460,-3,99.79452055
United Kingdom,1983,659101,660461,-1360,99.79408322
Belgium,2010,105152,105369,-217,99.79405708
Sweden,1994,91450,91639,-189,99.79375593
United Kingdom,1987,644342,645678,-1336,99.79308572
Belgium,1992,104200,104419,-219,99.79026805
Sweden,1993,96659,96863,-204,99.78939327
Iceland,1975,1412,1415,-3,99.78798587
Belgium,2018,110693,110929,-236,99.7872513
Estonia,1992,20126,20169,-43,99.78680153
Australia,1978,108425,108659,-234,99.78464738
Uruguay,2006,30576,30642,-66,99.78460936
Ukraine,2015,594796,596083,-1287,99.78409047
Sweden,1991,94936,95144,-208,99.78138401
Switzerland,2009,62431,62568,-137,99.78103823
Switzerland,1999,62499,62637,-138,99.77968294
France,1974,550878,552097,-1219,99.77920547
Ireland,1957,34311,34387,-76,99.77898624
Belgium,1991,104149,104380,-231,99.77869324
Sweden,1995,93641,93849,-208,99.77836738
United Kingdom,1984,644918,646352,-1434,99.77813947
Austria,2018,83975,84162,-187,99.77780946
Poland,2013,387312,388176,-864,99.77742055
France,1969,570601,571883,-1282,99.77582827
United Kingdom,1985,670656,672170,-1514,99.77475936
Estonia,2004,17685,17725,-40,99.77433004
Netherlands,1959,85752,85946,-194,99.77427687
Ireland,1958,34248,34327,-79,99.76986046
Iceland,1965,1291,1294,-3,99.76816074
South Korea,2008,246113,246689,-576,99.76650763
Poland,1993,390874,391790,-916,99.76620128
Australia,2014,153580,153941,-361,99.76549457
Bulgaria,1964,64479,64633,-154,99.76173162
Slovenia,2018,20485,20534,-49,99.76137138
South Korea,2010,255405,256016,-611,99.76134304
Poland,2014,376467,377375,-908,99.75939053
New Zealand,1971,24309,24368,-59,99.75787919
Australia,1979,106568,106828,-260,99.75661812
Belgium,1988,104577,104840,-263,99.74914155
Belgium,1976,118641,118940,-299,99.74861275
Belgium,1963,116718,117013,-295,99.74789126
Greece,2012,116668,116966,-298,99.74522511
Argentina,1996,266216,266915,-699,99.73811888
South Korea,2007,246482,247132,-650,99.73698267
Malta,1989,2637,2644,-7,99.73524962
New Zealand,1968,24464,24529,-65,99.73500754
France,1968,550492,551975,-1483,99.73132841
Portugal,1955,99472,99740,-268,99.73130138
Belgium,1997,103800,104080,-280,99.73097617
Poland,2019,409709,410825,-1116,99.72835149
Belgium,2015,110541,110843,-302,99.72754256
Belgium,1985,111612,111917,-305,99.72747661
New Zealand,1988,27407,27482,-75,99.7270941
Slovenia,1992,19333,19386,-53,99.72660683
Poland,2017,402852,403958,-1106,99.72620916
Canada,1952,125950,126299,-349,99.7236716
Netherlands,1951,77194,77412,-218,99.71838991
Netherlands,1962,93558,93824,-266,99.71649045
Iceland,1966,1391,1395,-4,99.71326165
Switzerland,2018,67088,67281,-193,99.71314338
Iceland,1992,1719,1724,-5,99.7099768
Iceland,1976,1343,1347,-4,99.7030438
Hungary,1974,125816,126194,-378,99.70046119
Iceland,1981,1656,1661,-5,99.69897652
Australia,1966,103929,104246,-317,99.69591159
Netherlands,1960,87486,87757,-271,99.69119273
Estonia,2009,16099,16149,-50,99.69038331
Finland,2005,47751,47902,-151,99.68477308
Israel,1978,25153,25233,-80,99.68295486
Iceland,1959,1242,1246,-4,99.67897271
Australia,1981,109003,109357,-354,99.67628958
Uruguay,2017,33173,33281,-108,99.67549052
Iceland,2005,1837,1843,-6,99.67444384
Australia,2009,140760,141220,-460,99.6742671
Canada,1956,131961,132395,-434,99.67219306
Venezuela,1981,80346,80611,-265,99.67126075
Belgium,1996,104370,104722,-352,99.66387197
Portugal,1957,101784,102129,-345,99.66219193
Poland,1992,393131,394487,-1356,99.65626244
Iceland,1989,1715,1721,-6,99.65136549
Netherlands,1950,75580,75846,-266,99.64928935
Portugal,1969,101088,101446,-358,99.64710289
Estonia,2015,15243,15297,-54,99.64698961
Canada,1976,167009,167609,-600,99.642024
Russia,1984,1650866,1656817,-5951,99.6408173
Netherlands,1958,84175,84479,-304,99.64014726
Norway,1991,44822,44985,-163,99.637657
Australia,2013,147678,148216,-538,99.63701625
Argentina,2008,299677,300770,-1093,99.63659939
Australia,1965,99715,100081,-366,99.63429622
Romania,1965,163393,163997,-604,99.63170058
Bulgaria,1966,68366,68619,-253,99.63129745
Dominica,1976,535,537,-2,99.62756052
Netherlands,1953,80551,80856,-305,99.62278619
Iceland,1982,1583,1589,-6,99.62240403
Israel,2002,38301,38447,-146,99.62025646
Germany,2014,868356,871668,-3312,99.62003882
